name,Longitude,Latitude,datetime,datetime,temp,humidity,precip,preciptype,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
"Lagos,Nigeria",3.3792° E,6.5244° N,4/1/2017,April,28.8,81.1,1.2,rain,17.3,,75.4,,182.3,6
"Lagos,Nigeria",,,4/2/2017,April,28.9,82.4,0.6,rain,18,,83.2,,162,6
"Lagos,Nigeria",,,4/3/2017,April,30.1,76.6,0.9,rain,16.6,1007.8,71.6,9.8,102.1,4
"Lagos,Nigeria",,,4/4/2017,April,29.3,80.4,0.8,rain,18.7,1008,70.5,9.5,91.7,3
"Lagos,Nigeria",,,4/5/2017,April,28.6,87.8,2.3,rain,20.9,,83.9,,80.4,3
"Lagos,Nigeria",,,4/6/2017,April,28.6,84.2,4.1,rain,21.6,,73.2,9,125.6,4
"Lagos,Nigeria",,,4/7/2017,April,28,83.4,1.1,rain,18.4,1009.5,65.5,8.5,128.6,4
"Lagos,Nigeria",,,4/8/2017,April,28.1,87,20,rain,19.1,1008.1,61.9,8.8,141.3,5
"Lagos,Nigeria",,,4/9/2017,April,27.2,86.7,1.3,rain,27.7,1009.2,54.5,8.1,124.7,5
"Lagos,Nigeria",,,4/10/2017,April,28.1,83.1,0.9,rain,16.6,1008.3,52.3,7.6,136.7,5
"Lagos,Nigeria",,,4/11/2017,April,28.6,86.5,2.9,rain,21.2,1008.8,63,8.9,116,4
"Lagos,Nigeria",,,4/12/2017,April,30.1,79.7,3.3,rain,25.2,1008.4,64,10,150.1,5
"Lagos,Nigeria",,,4/13/2017,April,28.9,84.6,4,rain,23,1008.2,72,9.3,98.8,3
"Lagos,Nigeria",,,4/14/2017,April,29.3,79.6,5,rain,23.4,1009.3,59.1,10,163.2,6
"Lagos,Nigeria",,,4/15/2017,April,28.5,81,1.1,rain,20.9,1010.8,63,9.1,194.9,7
"Lagos,Nigeria",,,4/16/2017,April,29.4,74.6,4.1,rain,23.8,1010.1,72.1,9.4,130.7,4
"Lagos,Nigeria",,,4/17/2017,April,30,77.7,3.5,rain,16.6,1009.5,82.4,10,103.4,3
"Lagos,Nigeria",,,4/18/2017,April,29.8,79.5,0.8,rain,18.4,1009.3,61.6,10,107.1,4
"Lagos,Nigeria",,,4/19/2017,April,29.8,80.3,0.6,rain,14.8,1008.5,57.9,9.7,128.8,5
