name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lagos,Nigeria",2021-07-31,31,25,27.7,35.3,25,30.2,23.2,77.1,0,0,0,,0,0,25.9,22.3,223.5,1015.2,57.4,9.5,264.9,22.8,9,,2021-07-31T06:40:48,2021-07-31T19:04:52,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2021-08-01,31,24.2,27.1,35.5,24.2,28.8,23.4,81,0,0,0,,0,0,22.3,33.8,233.8,1016.8,54.3,9.6,214.5,18.7,7,,2021-08-01T06:40:52,2021-08-01T19:04:40,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,65202099999,DNMM,65201099999"
"Lagos,Nigeria",2021-08-02,29,25,26.5,33.6,25,28,23.6,84.7,0,0,0,,0,0,20.5,16.6,247.7,1016,45,9.6,155.5,13.4,5,,2021-08-02T06:40:56,2021-08-02T19:04:28,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"Lagos,Nigeria",2021-08-03,30.1,23.9,26.5,35.1,23.9,28.2,23.5,83.9,0,0,0,,0,0,29.5,29.5,231.7,1014.7,60.9,9.3,165.2,14.3,5,,2021-08-03T06:40:59,2021-08-03T19:04:15,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2021-08-04,30,23.9,26.5,35.1,23.9,28.1,23.5,84.3,0.1,100,4.17,rain,0,0,29.5,24.1,223.3,1015.1,67.1,8.8,228.8,19.6,8,,2021-08-04T06:41:02,2021-08-04T19:04:01,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-05,28,23.1,25.8,32.1,23.1,27,23.8,88.8,38,100,8.33,rain,0,0,27.7,22.3,226,1017,51.6,8.7,76.7,6.6,3,,2021-08-05T06:41:04,2021-08-05T19:03:47,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-06,31,25,26.6,35.5,25,28,23.7,85.1,0.2,100,8.33,rain,0,0,24.1,24.8,234.3,1016.3,55.2,9.1,201.3,17.4,7,,2021-08-06T06:41:06,2021-08-06T19:03:31,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-07,29,24.2,25.7,33.9,24.2,26.4,24,90.4,4,100,4.17,rain,0,0,16.6,24.5,236.2,1015.4,51.9,8.4,114.4,9.7,4,,2021-08-07T06:41:07,2021-08-07T19:03:16,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-08,26.8,23,24.8,29.2,23,24.9,23.3,91.4,3,100,4.17,rain,0,0,31.7,27.7,242.5,1015.3,61.1,8.4,132.7,11.3,5,,2021-08-08T06:41:08,2021-08-08T19:02:59,1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-09,29.2,24.9,26.6,33.6,24.9,28.1,23.5,84.1,1,100,4.17,rain,0,0,27.7,27.7,229.7,1015.9,54.7,9.6,215.9,18.6,7,,2021-08-09T06:41:08,2021-08-09T19:02:42,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,65201099999"
